"congress","year","icpsr","statecode","district","state","party","occupancy","means","name","pres_matches","pres_votes","pres_there_for","score"
84,1956,4728,33,0,"MINNESOTA",100,0,1,"HUMPHREY",34,63,63,54
84,1956,4737,51,0,"KENTUCKY",100,2,5,"HUMPHREYS",20,63,29,NA
84,1956,4834,13,0,"NEW YORK",200,0,1,"IVES",52,63,59,82.5
84,1956,4851,73,0,"WASHINGTON",100,0,1,"JACKSON",28,63,63,44.4
84,1956,4922,22,0,"INDIANA",200,0,1,"JENNER",34,63,55,54
84,1956,4979,49,0,"TEXAS",100,0,1,"JOHNSON  L.",33,63,63,52.4
84,1956,5009,48,0,"SOUTH CAROLINA",100,0,1,"JOHNSTON",16,63,63,25.4
84,1956,5122,54,0,"TENNESSEE",100,0,1,"KEFAUVER",32,63,60,50.8
84,1956,5180,3,0,"MASSACHUSETTS",100,0,1,"KENNEDY",38,63,60,60.3
84,1956,5213,53,0,"OKLAHOMA",100,0,1,"KERR",20,63,63,31.7
84,1956,5240,56,0,"WEST VIRGINIA",100,1,1,"KILGORE",2,63,2,NA
84,1956,5343,71,0,"CALIFORNIA",200,0,1,"KNOWLAND",55,63,63,87.3
84,1956,5372,71,0,"CALIFORNIA",200,0,1,"KUCHEL",54,63,63,85.7
84,1956,5411,56,0,"WEST VIRGINIA",100,2,5,"LAIRD",21,63,49,33.3
84,1956,5452,36,0,"NORTH DAKOTA",200,0,1,"LANGER",21,63,62,33.3
84,1956,5591,13,0,"NEW YORK",100,0,1,"LEHMAN",36,63,63,57.1
84,1956,5767,45,0,"LOUISIANA",100,0,1,"LONG",21,63,61,33.3
84,1956,5913,73,0,"WASHINGTON",100,0,1,"MAGNUSON",20,63,61,31.7
84,1956,5944,65,0,"NEVADA",200,0,1,"MALONE",39,63,61,61.9
84,1956,5967,64,0,"MONTANA",100,0,1,"MANSFIELD",29,63,63,46
84,1956,6021,14,0,"PENNSYLVANIA",200,0,1,"MARTIN  E.",60,63,63,95.2
84,1956,6039,31,0,"IOWA",200,0,1,"MARTIN  T.",56,63,63,88.9
84,1956,6137,25,0,"WISCONSIN",200,0,1,"MCCARTHY",26,63,57,41.3
84,1956,6151,42,0,"ARKANSAS",100,0,1,"MCCLELLAN",16,63,61,25.4
84,1956,6366,23,0,"MICHIGAN",100,0,1,"MCNAMARA",35,63,63,55.6
84,1956,6525,62,0,"COLORADO",200,0,1,"MILLIKIN",47,63,57,74.6
84,1956,6597,53,0,"OKLAHOMA",100,0,1,"MONRONEY",26,63,62,41.3
84,1956,6738,72,0,"OREGON",328,0,1,"MORSE",33,63,63,52.4
84,1956,6796,37,0,"SOUTH DAKOTA",200,0,1,"MUNDT",39,63,60,61.9
84,1956,6820,64,0,"MONTANA",100,0,1,"MURRAY",30,63,60,47.6
84,1956,6856,56,0,"WEST VIRGINIA",100,0,1,"NEELY",28,63,62,44.4
84,1956,6882,72,0,"OREGON",100,0,1,"NEUBERGER",34,63,63,54
84,1956,7070,68,0,"WYOMING",100,0,1,"O'MAHONEY",19,63,56,30.2
84,1956,7229,5,0,"RHODE ISLAND",100,0,1,"PASTORE",37,63,63,58.7
84,1956,7271,2,0,"MAINE",200,0,1,"PAYNE",57,63,63,90.5
84,1956,7551,23,0,"MICHIGAN",200,0,1,"POTTER",46,63,49,73
84,1956,7656,1,0,"CONNECTICUT",200,0,1,"PURTELL",57,63,63,90.5
84,1956,7958,40,0,"VIRGINIA",100,0,1,"ROBERTSON",39,63,62,61.9
84,1956,8138,44,0,"GEORGIA",100,0,1,"RUSSELL",23,63,58,36.5
84,1956,8185,3,0,"MASSACHUSETTS",200,0,1,"SALTONSTALL",58,63,63,92.1
84,1956,8270,32,0,"KANSAS",200,0,1,"SCHOEPPEL",47,63,61,74.6
84,1956,8313,47,0,"NORTH CAROLINA",100,0,1,"SCOTT",26,63,63,41.3
84,1956,8593,43,0,"FLORIDA",100,0,1,"SMATHERS",30,63,62,47.6
84,1956,8635,12,0,"NEW JERSEY",200,0,1,"SMITH  H.",58,63,60,92.1
84,1956,8666,2,0,"MAINE",200,0,1,"SMITH  M.",54,63,63,85.7
84,1956,8764,41,0,"ALABAMA",100,0,1,"SPARKMAN",29,63,63,46
84,1956,8883,46,0,"MISSISSIPPI",100,0,1,"STENNIS",24,63,63,38.1
84,1956,9141,34,0,"MISSOURI",100,0,1,"SYMINGTON",24,63,63,38.1
84,1956,9374,33,0,"MINNESOTA",200,0,1,"THYE",50,63,63,79.4
84,1956,9865,67,0,"UTAH",200,0,1,"WATKINS",58,63,63,92.1
84,1956,9930,63,0,"IDAHO",200,0,1,"WELKER",36,63,62,57.1
84,1956,10110,25,0,"WISCONSIN",200,0,1,"WILEY",41,63,56,65.1
84,1956,10163,11,0,"DELAWARE",200,0,1,"WILLIAMS",46,63,63,73
